sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2023-12-21,"Myggdalsvägen 92, 1 tr",92,4.0,90.0,1995000,2395000,22167,6582,-0.17,HusmanHagberg Tyresö/Älta,20549399,"https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-92,-1-tr-540737420325747491"
2023-12-12,Myggdalsvägen 10,10,2.0,49.5,1900000,1995000,38384,3485,-0.05,Mäklarhuset Hammarbyhöjden,20598735,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-10-6450765040180250582
2023-12-06,Myggdalsvägen 32,32,5.0,88.5,2400000,2350000,27119,6598,0.02,Svensk Fastighetsförmedling Tyresö,20690556,https://www.hemnet.se/salda/lagenhet-5rum-tyreso-tyreso-kommun-myggdalsvagen-32-3009577907057281306
2023-11-23,Myggdalsvägen 104,104,2.0,49.5,1900000,1850000,38384,3077,0.03,Svensk Fastighetsförmedling Tyresö,21020296,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-104-821139326439474754
2023-11-13,Myggdalsvägen 94,94,4.0,92.0,2500000,2450000,27174,6938,0.02,Svensk Fastighetsförmedling Tyresö,20912075,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-94-8519081859848285307
2023-10-19,Myggdalsvägen 74,74,4.0,94.0,2500000,2595000,26596,6672,-0.04,HusmanHagberg Tyresö/Älta,19935028,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-74-7380777284848093172
2023-10-12,"Myggdalsvägen 16, Vån 6",16,3.0,90.0,2200000,2495000,24444,6528,-0.12,SkandiaMäklarna Tyresö/Älta,19794503,"https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-16,-van-6-1318509328768742788"
2023-10-10,Myggdalsvägen 40,40,4.0,94.5,2600000,2395000,27513,6691,0.09,Svensk Fastighetsförmedling Tyresö,20487935,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-40-1462551332071410498
2023-09-29,Myggdalsvägen 30,30,3.0,88.5,2200000,2095000,24859,6136,0.05,SkandiaMäklarna Tyresö/Älta,20593515,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-30-6739452455809130764
2023-09-21,Myggdalsvägen 62,62,3.0,92.0,2250000,2250000,24457,6495,0.0,Svensk Fastighetsförmedling Tyresö,20396575,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-62-2777420397256344365
2023-09-10,Myggdalsvägen 86,86,4.0,88.5,2495000,2495000,28192,6136,0.0,SkandiaMäklarna Tyresö/Älta,20400027,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-86-3604070726893531864
2023-08-24,Myggdalsvägen 34,34,4.0,88.5,2450000,2495000,27684,6136,-0.02,Fastighetsbyrån Tyresö,20328616,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-34-1169880852349293482
2023-06-22,Myggdalsvägen 92,92,4.0,90.0,2500000,2795000,27778,6344,-0.11,Svensk Fastighetsförmedling Tyresö,20035098,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-92-3300454897523752270
2023-05-14,Myggdalsvägen 102,102,2.0,74.0,2450000,2450000,33108,5000,0.0,Svensk Fastighetsförmedling Tyresö,19765155,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-102-121211016163924338
2023-05-03,Myggdalsvägen 96,96,2.0,45.0,1420000,1450000,31556,3068,-0.02,HusmanHagberg Tyresö/Älta,19874757,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-96-4683547071004571086
2023-04-24,Myggdalsvägen 8,8,2.0,74.0,2025000,2195000,27365,4900,-0.08,Fastighetsbyrån Tyresö,19716375,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-8-1678395712740387135
2023-04-17,Myggdalsvägen 72,72,3.0,85.5,2250000,2295000,26316,5575,-0.02,Svensk Fastighetsförmedling Tyresö,19770555,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-72-441566807034165255
2023-04-16,Myggdalsvägen 64,64,2.0,45.0,1910000,1695000,42444,3068,0.13,Svensk Fastighetsförmedling Tyresö,19594497,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-64-4648141736266166781
2023-03-02,Myggdalsvägen 6,6,2.0,49.5,1700000,,34343,3319,,Svensk Fastighetsförmedling Tyresö,19632638,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-6-955699348411517014
2023-03-01,Myggdalsvägen 8,8,2.0,49.5,2200000,2095000,44444,3115,0.05,Svensk Fastighetsförmedling Tyresö,19279028,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-8-8915785607406552962
